name,meaning
커뮤니티,"이런 뜻이에요	
비슷한 관심이나 목적을 가진 사람 여럿이 모여 있는 것.

또는 그런 모임을 뜻하기도 해요.
이렇게 쓰여요	
🤔 요즘 취업 때문에 고민이 많은데, 고민을 털어놓을 데가 없어.

🤗 취업 커뮤니티를 찾아보는 건 어때? 비슷한 고민을 가진 사람들이 많아서, 도움이 되는 정보를 얻을 수 있을 거야."
고답적,"이런 뜻이에요
실제 생활보다 실제 생활과 관련 없는 것을 더 훌륭하다고 생각하는 것.

예를 들어, 물건이 얼마나 싼지 비싼지 따지는 것보다, 세상은 어떻게 생겨났는지 고민하는 것을 더 훌륭하다고 생각하는 것이지요.
이렇게 쓰여요
🤔 어떤 토론회에 다녀왔는데, 지금 유행하는 것보다는 사랑, 평화 같은 보이지 않는 가치를 중요하게 생각하자는 쪽으로 의견이 모아졌어.
😀 고답적인 의견을 가진 사람이 많았구나."
홑벌이,"이런 뜻이에요 한 가정에서 한 사람만 돈을 버는 것.
이렇게 쓰여요
😀 오랜만이다. 요즘 어떻게 지내?
😔 요즘은 가족들 건강이 좀 안 좋아져서, 우리 집에서 내가 홑벌이를 하고 있어."
사상 사고,"이런 뜻이에요 사람이 죽거나 다치게 된 사고. 
이렇게 쓰여요 😣 근처에서 기차가 고장나서 사상 사고가 일어났대.
🥺 헉! 정말 큰일이다. 어쩐지 구급차가 많이 지나다니더라고."
행락철,"이런 뜻이에요
많은 사람이 놀러 가거나 여행을 떠나는 시기.

주로 봄, 가을처럼 날씨가 좋거나 주위 풍경이 아름다워서 놀러 가기 좋은 계절을 행락철이라고 한다.
이렇게 쓰여요
😮‍💨 행락철이라 그런지 도로에 차가 엄청 많아.
😥 교통사고가 나지 않게 조심하는 게 좋겠어."
금리,"이런 뜻이에요 은행에 빌리거나 맡긴 돈에 더해지는 이자의 비율.

은행에서 은행에 돈을 맡기거나 빌린 사람에게 이자를 어느 정도 줄지 정한 것을 말해요.

이율, 이자율이라고도 불러요.

예를 들어 내가 은행에 100만 원을 맡겼는데 금리가 1퍼센트(%)*라면, 정해진 기간마다 1만 원을 받을 수 있어요.

*퍼센트(%) : 전체 양을 100으로 했을 때, 어떤 것이 100중 얼마만큼인지 나타낸 것.

✔ 함께 알면 좋은 말 : 이자, 이율
이렇게 쓰여요 😢 작년과 비슷하게 돈을 은행에 저축했는데 작년보다 돈이 늘어나지 않았어.
😮 그래? 요즘 금리가 낮은가 보다!"
이율,"이런 뜻이에요 은행에 빌리거나 맡긴 돈에 더해지는 이자의 비율.

은행에서 은행에 돈을 맡기거나 빌린 사람에게 이자를 어느 정도 줄지 정한 것을 말해요.

금리라고도 불러요.

예를 들어 내가 은행에 100만 원을 맡겼는데 이율이 1퍼센트(%)*라면, 정해진 기간마다 1만 원을 받을 수 있어요.

*퍼센트(%) : 전체 양을 100으로 했을 때, 어떤 것이 100중 얼마만큼인지 나타낸 것.

✔ 함께 알면 좋은 말 : 이자, 금리
이렇게 쓰여요 🤔 돈을 모으고 싶은데, 어떻게 해야 할까?
😃 은행에 가서 상담해 봐! 돈을 맡길 때 받을 수 있는 이율도 잘 살펴보고!"
이자,"이런 뜻이에요 돈을 빌리거나 맡기는 동안, 그 돈에 더해 받거나 내는 돈.

내가 돈을 빌렸다면, 빌린 돈 중 얼마 만큼의 돈을 정해진 날마다 나눠서 내요.

내가 돈을 맡겼다면, 맡긴 돈 중 얼마 만큼의 돈을 정해진 날마다 나눠서 받아요.

이자는 돈을 빌리거나 맡긴 기간 등에 따라 달라져요.

✔ 함께 알면 좋은 말 : 금리, 이율
이렇게 쓰여요 😃 3년 전에 은행 계좌에 돈을 넣어 뒀었는데 오늘 보니 돈이 조금 늘어나 있었어!
🤗 원래 맡긴 돈에 이자가 더해졌나 보다. 축하해!"
보수,"이런 뜻이에요 건물이나 시설의 낡은 부분을 고치는 것.
이렇게 쓰여요 😀 자주 가는 도서관이 보수 공사 중이어서 다른 도서관에 가려고 해.
🤗 그러고 보니 그 도서관이 지어진 지 벌써 20년이 넘은 것 같아!"
착불,"이런 뜻이에요  택배로 물건을 받은 다음 돈을 내는 것.

착着 : 도착하다
불拂 : 돈을 내다

✔ 함께 알면 좋은 말 : 선불
이렇게 쓰여요 😁 택배 왔습니다. 착불이라 배송비를 내 주셔야 해요.
🤗 네! 얼마인가요?"
파업,"이런 뜻이에요 하던 일을 멈추는 것.

주로 회사에서 일하는 사람들이 회사에 무언가를 요구하기 위해 일부러 하는 행동이에요.

혼자 하기보다는 여럿이서 함께 할 때가 많아요.

✔ 함께 알면 좋은 말 : 태업
이렇게 쓰여요 😢 오늘부터 버스 파업이 시작된대.
😫 그러면 다니는 버스가 줄어들 수도 있겠네? 지하철을 이용해야겠다."
태업,"이런 뜻이에요
노동자들이 일을 일부러 천천히 해서 회사나 정부에 불만을 표현하는 것.

일을 아예 하지 않는 파업과는 다르다.

✔ 함께 알면 좋은 말 : 파업
이렇게 쓰여요 ☺️ 내일은 지하철 태업이 있대!
😮 그렇구나! 평소보다 조금 더 일찍 나가야겠다."
착석,"이런 뜻이에요 자리에 앉음.

착着 : 붙다
석席 : 앉을 자리
이렇게 쓰여요
(🎞 영화관에서)
😏 잠깐 음료수 사러 나갔다 와도 되나?
🤨 안 돼. 곧 영화 시작하니까 착석해야지."
빌런,"이런 뜻이에요
나쁜 일을 하여 다른 사람에게 피해를 주는 사람.

악당이라고도 해요.

빌런은 악당을 뜻하는 영어 단어로, villain 이라고 써요.
이렇게 쓰여요
(🍿 영화를 다 보고 나서)
😮 주인공이 사실은 빌런이었다니!
😅 그러게. 착한 역할인 줄 알았는데 아니었어."
이브,"이런 뜻이에요
어떤 기념일의 전날, 전날 밤.

예를 들어, 크리스마스는 12월 25일이고, 크리스마스 이브는 12월 24일이에요. 12월 24일 밤이나, 그날 하루 전체를 ‘크리스마스 이브’라고 하지요.

이브은 영어 단어로, eve 라고 써요. 밤을 뜻하는 이브닝(evening)의 줄임말이에요.
이렇게 쓰여요
🧐 크리스마스 이브에 뭐 할 거야?
🤗 친구들이랑 같이 놀이공원에 가기로 했어. 크리스마스 이브여서 불꽃놀이를 한대!"
캐럴,"이런 뜻이에요
크리스마스를 축하하는 노래.

크리스마스를 축하하는 내용을 담은 노래는 모두 캐럴이라고 할 수 있어요.

캐럴은 영어 단어로, carol 이라고 써요.
이렇게 쓰여요
🥰 곧 크리스마스라 그런지 캐럴을 틀어둔 가게들이 많네.
🥳 그러게 말야. 너무 신나! 흰 눈 사이로~ 썰매를 타고~♬"
소정 근로 시간,"이런 뜻이에요 직원이 회사에서 얼마나 일할지 정한 시간.

직원은 회사와 몇 시에 출근하고 몇 시에 퇴근할지 약속하고, 그 시간에 맞춰 일해요.

소정 근로 시간은 주로 하루, 일주일, 한 달씩 세요. 일한 시간에 쉬는 시간은 더하지 않아요.

예를 들어, 하루 소정 근로 시간이 8시간이라면, 하루에 쉬는 시간 빼고 8시간을 일하기로 정했다는 뜻이에요.

소정所定 : 정해진 것
근로勤勞 : 일함
이렇게 쓰여요
😔 오늘은 5시간만 일하고 퇴근하고 싶어.
😇 너는 하루 소정 근로 시간이 8시간이지? 오늘은 휴가를 써서 일찍 퇴근하면 어때?"
어드벤트 캘린더,"이런 뜻이에요
12월 1일부터 크리스마스 전날(12월 24일)까지 날짜마다 선물이 들어 있는 달력.

주로 24칸으로 되어 있고, 24일 동안 하루에 한 칸씩 열어볼 수 있어요. 한 칸을 열 때마다 초콜렛, 장난감 등 선물이 나와요.

어드벤트advent : 크리스마스를 축하하는 기간
캘린더calendar : 달력
이렇게 쓰여요
🤔 조카에게 크리스마스 선물을 주고 싶은데 뭐가 좋을까?
🤗 초콜릿이 담긴 어드벤트 캘린더는 어때? 매일 한 칸씩 열어 보는 재미가 있을 것 같아!"
촉수,"이런 뜻이에요
무언가에 손을 가져다 대는 것.

촉觸 : 닿다
수手 : 손
이렇게 쓰여요
(✈️ 공항에서 비행기를 타기 전)
🤰 나는 촉수 검색을 받으러 가려고!
🤔 촉수 검색? 위험한 물건이 없는지 확인받으려면 검색대에서 검사를 받아야 하는 거 아니야?
🤰 검색대에 있는 기계에서 나오는 전자파가 배 속에 있는 아이에게 위험할 수도 있거든. 나는 임신부니까 촉수 검색을 받는 게 좋대!"
정월 대보름,"이런 뜻이에요 음력* 1월 15일.

대한민국의 명절이에요.

음력을 기준으로, 한 해의 첫 번째 보름달이 뜨는 것을 기념해요.

*음력 : 달이 변하는 모습에 따라 날짜를 세던 방법. 우리나라에서는 1896년까지 음력으로 날짜를 셌다.
이렇게 쓰여요 🤔 오늘 정월 대보름이래!
🤗 그래? 오늘 밤에는 달 보면서 소원 빌어야지!"
휴면 계정,"이런 뜻이에요 오랫동안 사용하지 않은 계정.

모바일 앱이나 사이트에서 만들어 놓은 계정을 오랫동안 사용하지 않으면, 앱이나 사이트 관리자가 그 계정을 휴면 계정으로 등록해요.

휴면休眠 : 쉬면서 활동을 하지 않음
계정計定 : 앱이나 사이트를 이용하기 위해 만드는 것
나의 아이디와 비밀번호를 입력했을 때 들어가지는 게 나의 ‘계정’이다.
이렇게 쓰여요
😮 내가 예전에 사용하던 계정이 휴면 계정이 됐대.
🤗 오랫동안 그 계정을 사용하지 않았었나보다!"
갑진년,"이런 뜻이에요
푸른 용의 해.

2024년을 부르는 말이에요.

갑甲 : 푸른색
진辰 : 용
이렇게 쓰여요
🤔 2023년은 계묘년, 검은 토끼의 해였잖아. 2024년은 무슨 해일까?
🤗 2024년은 갑진년이라서 푸른 용의 해라고 하더라!"
단차,"이런 뜻이에요
바닥의 높이가 서로 다른 모습.

길을 걸을 때, 계단을 오를 때 등 바닥의 높이가 서로 다른 곳을 보고 '단차가 있다.'라고 표현해요.
이렇게 쓰여요
(⚽️ 축구 경기 보러 가는 길)
🙂 오른쪽 길로 쭉 가면 축구장이 나온대!
😅 저번에 봤더니 그 길에 단차가 있더라. 휠체어를 타고 있으니까 경사로 같은 단차가 없는 길을 찾아봐야 할 것 같아."
정렬 거치,"이런 뜻이에요
줄지어 가지런하게 둠.

정렬整列 : 가지런한 모습
거치据置 : 그대로 둠
이렇게 쓰여요
🤔 길 이곳저곳에 자전거가 놓여 있네!
🤗 그러네~ 자전거를 한 곳에 정렬 거치하면 길이 조금 더 깨끗해지지 않을까?"
공휴일,"이런 뜻이에요
모두가 일을 쉬기로 나라에서 정한 날.

공휴公休 : 다 함께 쉬다
일日 : 날(하루)
이렇게 쓰여요 🤔 이번 주에는 공휴일이 있네~
😉 그러네. 나는 그 날 가까운 곳으로 여행을 가보려고!"
성묘,"이런 뜻이에요
돌아가신 가족의 무덤을 찾아가는 것.

주로 설날, 추석 등 명절에 하는 일이에요.

성省 : 살피다
묘墓 : 무덤
이렇게 쓰여요
😀 이번 설날에는 고향에 내려간다고 했지?
😊 응, 가족들끼리 모여서 성묘를 하기로 했어."
연단 간격,"이런 뜻이에요
열차 문 밖 바로 앞에 있는 땅과 열차 문 사이의 거리.

주로 지하철에서 자주 사용하는 말이에요.

지하철역마다 연단 간격이 달라요. 연단 간격이 좁은 곳도 있고, 넓은 곳도 있어요.
이렇게 쓰여요
🧐 이 지하철역은 연단 간격이 엄청 넓다!
🤗 지하철을 타고 내릴 때 발이나 휠체어 바퀴가 빠지지 않도록 조심해야겠네."
양생,"이런 뜻이에요 콘크리트*가 잘 굳을 수 있도록 보호하는 것.

콘크리트는 밀가루 반죽처럼 물기가 있는 상태이지만 시간이 지나면 점점 딱딱해져요. 콘크리트가 딱딱하게 잘 굳어야 건물이나 도로가 튼튼하고 안전하게 만들어지지요.

그래서 콘크리트가 굳는 동안 사람들이 만지거나 밟을 수 없게 ‘양생 중'이라고 안내 표시를 해 두는 경우가 많아요.

*콘크리트 : 건물을 짓거나 도로를 만들 때 많이 쓰는 재료.
이렇게 쓰여요 😥 얼마전에 도로 공사하는 곳을 지나가다가 신발 바닥에 콘크리트가 묻었어.
😮 밟지 말라는 안내 표시는 없었어? 아직 양생 중이던 도로를 밟았나봐!"
상춘객,"이런 뜻이에요 봄 풍경을 즐기러 나온 사람.

상賞 : 즐기다
춘春 : 봄
객客 : 손님, 사람
이렇게 쓰여요 😆 올해는 봄이 빨리 찾아 왔네!
😉 그러게. 벌써 공원에 상춘객이 가득해."
하차,"이런 뜻이에요 차에서 짐을 내리는 것.

✔ 함께 알면 좋은 말 : 상차
이렇게 쓰여요 (🏢 회사에서)
😀 잠시 1층에 내려 갔다 올게요! 팀장님이 택배 하차를 도와달라고 하셔서요.
🤔 저도 같이 내려 가서 도와드릴까요?"
상차,"이런 뜻이에요 차에 짐을 싣는 것.

✔ 함께 알면 좋은 말 : 하차
이렇게 쓰여요 🤣 휴 이제 이삿짐을 다 쌌어!
😮 상자가 엄청 많네! 상차하기 쉽지 않겠어."
락토프리,"이런 뜻이에요 유당*이 없는 제품.

우유, 요거트, 치즈 등 우유가 들어간 제품에서 유당을 뺀 것이에요. 락토프리 우유, 락토프리 요거트 등이 있어요.

*유당 : 우유 속에 들어 있는 영양소.

락토lacto : 유당
프리free : ~이 없는
이렇게 쓰여요 🤔 우유만 마시면 유당 때문에 배가 아파.
😢 그렇구나..! 락토프리 우유를 한번 마셔 보면 어때?"
준공,"이런 뜻이에요 공사를 다 끝낸 것.

준竣 : 끝내다
공工 : 공사
이렇게 쓰여요 😆 이사 가려는 아파트가 준공돼서 조금 있으면 들어갈 수 있다고 하더라!
😃 축하해! 이제 새집으로 이사 갈 수 있겠구나~"
낙수,"이런 뜻이에요 천장이나 지붕 끝 등에서 물이 떨어지는 것.

떨어진 물을 뜻하기도 해요.

주로 비나 눈이 올 때 생기는 물이 떨어져요. 비가 올 때는 빗물, 눈이 오고 나서는 눈이 녹은 물이 떨어지지요.

낙落 : 떨어지다
수水 : 물
이렇게 쓰여요 😮 오늘 지하철을 타려는데 낙수 주의 안내판이 세워져 있더라.
😃 그래? 안내판 근처는 피해서 지나가야겠다."
심심하다,"이런 뜻이에요 진심을 깊게 담음.

심甚 : 어떤 정도가 심하다, 깊다
심深 : 깊다
이렇게 쓰여요 😥 지난번에는 제가 실수했어요. 심심한 사과의 말씀을 드립니다.
🤗 괜찮아요. 진심으로 사과해 줘서 고마워요."
고독,"이런 뜻이에요 세상에 혼자 있는 것처럼 외롭고 쓸쓸한 상태.

고孤 : 외롭다
독獨 : 혼자
이렇게 쓰여요 😥 나 요즘 고독한 것 같아…
😯 에고, 그렇구나. 최근에 혹시 무슨 일 있었어?"
구직,"이런 뜻이에요 일자리를 찾는 것.

구求 : 구하다
직職 : 직업, 일자리

✔ 함께 알면 좋은 말 : 구인
이렇게 쓰여요 🙂 오랜만에 만나니까 좋다. 요즘 어때?
🤔 구직 중이라 고민이 많아. 나랑 맞는 일자리를 얼른 찾고 싶어!"
구인,"이런 뜻이에요 일할 사람을 구하는 것.

구求 : 구하다
인人 : 사람

✔ 함께 알면 좋은 말 : 구직
이렇게 쓰여요 🙂 이번에 관심 있던 회사에서 구인하더라고! 지원해 보려고~
🤗 그래? 좋은 결과 있으면 좋겠다!"
연차,"이런 뜻이에요 회사에서 일을 처음 시작한 날부터 1년마다 생기는 휴가.

연차 휴가의 줄임말이에요.

회사에서 일을 처음 시작한 날부터 1년이 지나면 15개의 휴가가 생겨요. 그 후 2년마다 15개에서 1개씩 연차가 늘어나요. 25개까지 늘어날 수 있어요.

예를 들어 내가 2023년 1월 1일부터 2023년 12월 31일까지 한 회사에 다녔고, 2024년에도 같은 회사에 다닌다면 2024년에 15일의 휴가가 생겨요.

✔ 함께 알면 좋은 말 : 월차
이렇게 쓰여요 🤔 너 오늘 엄청 신나보인다? 무슨 좋은 일 있어?
😎 응 내일부터 3일 동안 연차거든."
선불,"이런 뜻이에요 일이 끝나기 전이나 물건을 받기 전에 미리 돈을 내는 것.

선先 : 먼저
불拂 : 돈을 내다

✔ 함께 알면 좋은 말 : 착불
이렇게 쓰여요 🤔 택배 보내고 싶은데요. 선불로 하면 얼마인가요?
🤗 네, 3,500원입니다."
우월감,"이런 뜻이에요 다른 사람보다 자신이 더 낫다고 생각하는 것.

✔ 함께 알면 좋은 말 : 열등감
이렇게 쓰여요 🤔 이번 경기에서 1등한 선수 인터뷰 봤어?
🤗 맞아. 우월감을 가지지 않고 앞으로도 계속 열심히 연습하겠다더라고!"
열등감,"이런 뜻이에요 다른 사람보다 자신이 더 못하다고 생각하는 것.

✔ 함께 알면 좋은 말 : 우월감
이렇게 쓰여요 😐 이번 시험도 못 봤어.. 나는 시험 성적이 나올 때마다 열등감을 느껴.
😀 열심히 시험 준비한 것만으로도 정말 대단해! 시험 보느라 고생 많았어~"
할부,"이런 뜻이에요 내야 하는 돈을 여러 번에 나눠서 내는 것.

✔ 함께 알면 좋은 말 : 일시불
이렇게 쓰여요 😢 사고 싶은 물건이 있는데 돈이 부족해.
🤔 할부로 살 수 있는지 확인해 보면 어때?"
월차,"이런 뜻이에요 1달마다 생기는 휴가.

월차 휴가의 줄임말이에요.

1달 동안 일한 직장인에게 다음달에 쓸 수 있는 1일의 휴가를 주는 것이에요.

월차는 법에서 정한 휴가가 아니기 때문에 월차를 주는 회사도 있고 주지 않는 회사도 있어요.

✔ 함께 알면 좋은 말 : 연차
이렇게 쓰여요 🤔 너 오늘 되게 피곤해 보인다? 무슨 안 좋은 일 있어?
🤗 요즘 너무 힘들고 지치네. 내일 하루 월차 내고 쉬어야겠어😢"
일시불,"이런 뜻이에요 내야 하는 돈을 한꺼번에 모두 내는 것.

✔ 함께 알면 좋은 말 : 할부
이렇게 쓰여요 😲 우와, 처음 보는 게임기다. 새로 산 거야?
🤗 응! 이번에 모아둔 돈으로 갖고 싶던 게임기를 일시불로 샀어!"
구립,"이런 뜻이에요
구에서 만들고 관리한다는 뜻이에요.

예를 들어, 영등포구에 구립 도서관이 있다면, 
그 도서관은 영등포구에서 만들고 관리해요.

그 외에도 구립 어린이집, 구립 도서관, 구립 공원, 
구립 수영장 등이 있어요.

✔ 함께 알면 좋은 말 : 시립
이렇게 쓰여요
😁 너희 동네 구립 도서관 정말 좋더라!
😉 그치? 내가 자주 이용하는 곳이야."
시립,"이런 뜻이에요
시에서 만들고 관리한다는 뜻이에요.

예를 들어, 서울시에 시립 미술관이 있다면, 
그 미술관은 서울시에서 만들고 관리해요.

그 외에도 시립 대학교, 시립 도서관, 시립 병원, 
시립 운동장 등이 있어요.

✔ 함께 알면 좋은 말 : 구립
이렇게 쓰여요
🥳 이번에 OO시에 시립 도서관이 새로 생긴대.
😆 OO시 사람들이 정말 편리하겠다!"
구정,"이런 뜻이에요
음력 1월 1일.

우리가 설날이라고 부르는 날이에요.

구舊 : 옛날의
정正 : 첫째 달

✔ 함께 알면 좋은 말 : 신정
이렇게 쓰여요
🤔 2024년 구정은 언제야?
🤗 2월 10일! 그날이 음력으로 1월 1일이야."
신정,"이런 뜻이에요
양력 1월 1일.

새해 첫날을 뜻해요.

신新 : 새로운
정正 : 첫째 달

✔ 함께 알면 좋은 말 : 구정
이렇게 쓰여요
🤔 우리 1월에 만나자! 언제가 좋을까?
🤗 신정이 쉬는 날이니까 여유롭게 그때 보자!"
비접촉,"이런 뜻이에요 서로 닿지 않는 것.

비非 : ~아니다, ~않다
접촉接觸 : 서로 닿는 것
이렇게 쓰여요 😮 새로 나온 비접촉 교통카드 써 봤어?
😉 응! 정말 신기했어. 지하철역에서 카드를 찍지 않아도 자동으로 돈이 나가더라고!"
고성방가,"이런 뜻이에요
다른 사람에게 피해를 줄 만큼 큰 소리로 소리를 지르거나 노래를 부르는 것.

고성高聲 : 큰 소리
방가放歌 : 마구 소리를 지르고 노래를 부르는 것
이렇게 쓰여요
🤔 조금 피곤해 보인다! 무슨 일 있었어?
😭 밤늦게 길거리에서 고성방가하는 사람 때문에 잠을 못 잤어."
기점,"이런 뜻이에요 어떤 일이 처음 시작되는 시간이나 장소.

기起 : 시작하다, 일어나다
점點 : 장소, 공간
이렇게 쓰여요 (🚅 기차역에서)
🤔 이 기차는 기점이 어디인지 모르겠네.
🤗 서울에서 부산으로 가는 기차니까 서울역이 기점이야. 서울역에서 처음으로 출발해!"
해돋이,"이런 뜻이에요 해가 막 떠오르는 모습이나 때.
이렇게 쓰여요
🤔 12월 31일에 뭐하기로 했어?
🤗 이번에는 동해 바다로 새해 첫 해돋이를 보러 갈 거야!’"
강소농,"이런 뜻이에요 작지만 강한 농민.

비교적 작은 크기의 땅에서 자신만의 방법으로 좋은 품질의 과일, 채소 등을 키워요.
이렇게 쓰여요 😋 얼마 전에 한 농민이 운영하는 인터넷 쇼핑몰에서 딸기를 사 먹었는데 정말 맛있었어!
😉 나도 그분 알아! 강소농이시더라고~"
전임상,"이런 뜻이에요 새로 만든 약을 실제 사람에게 사용하기 전에 문제가 있는지 알아보는 것.

문제가 있는지 알아보기 위해 여러 동물에게 먼저 약을 사용해요.

전임상 시험을 줄여서 부르는 말이에요.
이렇게 쓰여요 😀 뉴스 봤어? 췌장암에 효과가 있는 약이 개발됐대!
😮 전임상 시험은 통과했을까? 한번 찾아봐야겠어!"
휘산,"이런 뜻이에요 액체가 기체로 바뀌어 공기 중에 퍼지는 것.

휘산은 주로 뿌려서 사용하는 향수, 방향제 등을 사용할 때 볼 수 있는 모습이에요.

뿌려서 사용하는 향수, 방향제 등은 원래 물 같은 액체로 되어 있어요. 액체를 공기 중에 뿌리면 연기 같은 기체로 변하며 향기가 퍼져요.
이렇게 쓰여요 😎 새로 산 향수를 뿌려 봤는데, 휘산이 정말 잘 된다!
🤗 우와! 향이 주위에 금방 퍼지나 보다!"
권리,"이런 뜻이에요 어떤 일을 누리거나 당연히 요구할 수 있는 힘이나 자격.
이렇게 쓰여요 😀 조금 있으면 선거하는 날이네~
😎 맞아. 투표는 우리의 소중한 권리니까 꼭 투표하자!"
곰살궂다,"이런 뜻이에요 친절하고 다정한 성격.

꼼꼼한 성격을 뜻하기도 해요.
이렇게 쓰여요 😀 오늘 준비물을 두고 왔었는데, 친구가 자신의 준비물을 같이 쓰자고 해 줬어!
🤗 정말 다행이다! 그 친구 참 곰살궂은 걸?"
참살이,"이런 뜻이에요 건강한 몸과 마음을 가지고 행복하게 사는 것.
이렇게 쓰여요 😎 요즘 밥을 잘 챙겨 먹고 운동하는 습관을 만들려고 노력하고 있어.
🤗 오오! 요새 참살이에 관심이 생겼나 보다."
하자,"이런 뜻이에요 어떤 물건에 문제가 있는 것.

망가지거나 상하는 등 여러 문제가 있을 수 있어요.
이렇게 쓰여요 😥 이번에 냉장고를 샀는데 냉장고에 넣은 음식이 시원해지질 않아!
😮 그럼 하자가 있는 냉장고일 수도 있어. 냉장고를 산 곳에 연락해 봐!"
무기 징역,"이런 뜻이에요 죄를 지은 사람을 평생 교도소에 가두는 벌.
이렇게 쓰여요 😥 사람을 죽인 그 범죄자는 결국 무기 징역을 받게 되지 않을까?
😔 나도 그렇게 생각해. 다음 달에 재판 결과가 나온다더라."
협상,"이런 뜻이에요 어떤 문제를 해결하기 위해 여러 사람이 모여서 의견을 나누는 것.
이렇게 쓰여요 🤔 올해부터는 우리 회사에 여름 휴가가 생길 수도 있대!
😮 정말? 회사랑 직원들 사이에 협상이 잘 되면 좋겠다!"
대상 포진,"이런 뜻이에요 바이러스가 몸속에 퍼져서 피부에 붉은 점과 물집이 생기는 병.
이렇게 쓰여요 😢 어젯밤에 갑자기 몸에 물집이 생겼어. 물집 있는 곳이 가렵고 아파.
😮 대상포진일 수도 있어. 얼른 병원에 가 봐!"
센서,"이런 뜻이에요 주변 환경이 변하면 그에 따라 반응하는 장치.

센서는 기계의 한 종류예요.

센서 주변의 빛, 소리, 온도, 움직임 등이 변하면, 문이 열리거나 버튼이 눌리는 등 어떤 반응을 하도록 만들어졌어요.

센서는 영어 단어로, sensor 라고 써요.
이렇게 쓰여요 😎 나 어제 로봇 청소기를 처음 써 봤는데, 로봇 청소기가 알아서 물건들을 피해 다니며 청소하는 게 신기하더라고!
😮 로봇 청소기에 있는 센서가 주변에 물건이 있다는 걸 알아차리나 봐. 청소할 때 훨씬 편하겠다~"
